name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Antonee Robinson,DEF,Fulham,4.5,0,0,9,0,22.4,255,0.15,0.15,0,0.25,225,1,0,3.9,14.2,2025-01-26T19:00:00Z,90,0,0,0,0,0,0,0,FALSE,14,0,0,0,0,23,0,2984462,1,1,0,2,2,-11,105058,105069,51,TRUE,0,23
Romain Faivre,MID,Bournemouth,0,0,0,0,0,0,66,0,0,0,0,222,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,16,0,0,0,0,23,0,594,0,0,5,0,0,-3,0,3,50,TRUE,0,23
James Ward-Prowse,MID,Nott'm Forest,1,0,0,0,0,0,531,0,0,0,0,222,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,3,0,0,0,0,23,0,58193,0,0,5,0,0,-350,1057,1407,61,FALSE,0,23
Patson Daka,FWD,Leicester,1,0,0,4,0,0.3,289,0,0,0,0.14,229,0,0,0.3,3,2025-01-26T14:00:00Z,13,0,0,0,0,0,0,0,FALSE,18,0,0,0,0,23,0,90202,0,2,1,0,1,-3706,7659,11365,48,FALSE,0,23
Illia Zabarnyi,DEF,Bournemouth,3.8,0,0,25,1,1,85,0.01,0.01,0,0.98,222,0,0,2.3,22,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,16,0,0,0,0,23,0,64995,1,0,5,0,5,133,4223,4090,44,TRUE,1,23
Gavin Bazunu,GK,Southampton,-1,0,0,0,0,0,454,0,0,0,0,228,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,15,0,0,0,0,23,0,9882,0,3,1,0,0,90,222,132,43,TRUE,0,23
Ruud van Nistelrooij,AM,Leicester,1,0,0,0,0,0,754,0,0,0,0,229,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,2,0,0,0,1,FALSE,18,0,0,0,0,23,0,0,0,2,1,0,8,0,0,0,5,FALSE,0,23
Sven Botman,DEF,Newcastle,2.8,0,0,0,0,0,393,0,0,0,0,228,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,17,0,0,0,0,23,0,11891,0,3,1,0,0,1167,2478,1311,44,FALSE,0,23
Hugo Bueno López,DEF,Wolves,0,0,0,0,0,0,549,0,0,0,0,230,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,0,23,0,695,0,1,0,0,0,-9,0,9,45,TRUE,0,23
Diego Gómez,MID,Brighton,0.3,0,0,0,0,0,714,0,0,0,0,223,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,23,0,575,0,1,0,0,0,108,182,74,55,TRUE,0,23
Danny Ward,GK,Leicester,0,0,0,0,0,0,308,0,0,0,0,229,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,0,0,0,0,0,FALSE,18,0,0,0,0,23,0,231044,0,2,1,0,0,15408,20615,5207,39,FALSE,0,23
Samuel Amo-Ameyaw,MID,Southampton,-1,0,0,0,0,0,451,0,0,0,0,228,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,15,0,0,0,0,23,0,12768,0,3,1,0,0,-279,364,643,44,TRUE,0,23
Joe Gauci,GK,Aston Villa,0,0,0,0,0,0,39,0,0,0,0,221,0,0,0,0,2025-01-26T16:30:00Z,0,0,0,0,0,0,0,0,FALSE,19,0,0,0,0,23,0,76759,0,1,1,0,0,-1247,351,1598,40,TRUE,0,23
João Pedro Junqueira de Jesus,FWD,Brighton,3.2,0,0,1,0,5.6,129,0.06,0.26,0.2,0.85,223,1,0,3.7,2,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,8,0,0,0,0,23,0,1682699,1,1,0,29,1,-9374,126883,136257,56,TRUE,1,23
Justin Kluivert,MID,Bournemouth,11.5,1,2,45,1,19,71,0.43,0.61,0.18,0.92,222,0,1,10.1,58.2,2025-01-25T15:00:00Z,87,0,0,0,0,0,0,0,FALSE,16,0,0,0,0,23,0,963321,1,0,5,24,13,594875,615533,20658,56,TRUE,0,23
Ollie Scarles,DEF,West Ham,0.8,0,0,9,0,0.6,677,0,0,0,0.07,221,0,0,0.8,7.2,2025-01-26T16:30:00Z,15,0,0,0,0,0,0,0,FALSE,2,0,0,0,0,23,0,3082,0,1,1,0,1,110,330,220,40,FALSE,0,23
Andoni Iraola,AM,Bournemouth,2.5,0,0,0,0,0,738,0,0,0,0,222,0,0,0,0,2025-01-25T15:00:00Z,0,1,0,5,0,0,0,1,FALSE,16,0,0,0,0,23,0,0,0,0,5,0,13,0,0,0,11,TRUE,0,23
Josh Wilson-Esbrand,DEF,Man City,0,0,0,0,0,0,675,0,0,0,0,227,0,0,0,0,2025-01-25T17:30:00Z,0,0,0,0,0,0,0,0,FALSE,6,0,0,0,0,23,0,2224,0,1,3,0,0,-108,91,199,40,TRUE,0,23
Martin Dúbravka,GK,Newcastle,5.5,0,0,11,0,0,396,0,0,0,0.76,228,1,0,3.1,31,2025-01-25T15:00:00Z,90,0,0,0,0,0,0,0,FALSE,17,0,0,0,0,23,4,359230,1,3,1,0,3,39109,57159,18050,43,FALSE,0,23
Oliver Glasner,AM,Crystal Palace,1.6,0,0,0,0,0,741,0,0,0,0,224,0,0,0,0,2025-01-26T14:00:00Z,0,0,0,1,1,0,0,0,FALSE,4,0,0,0,0,23,0,0,0,2,1,0,1,0,0,0,8,TRUE,0,23
Flynn Downes,MID,Southampton,-1,0,0,0,0,0,518,0,0,0,0,228,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,15,0,0,0,0,23,0,4604,0,3,1,0,0,10,225,215,47,TRUE,0,23
Alejandro Garnacho,MID,Man Utd,2,0,0,6,1,3.3,372,0.04,0.04,0,0.3,225,0,0,1,0.6,2025-01-26T19:00:00Z,80,0,0,0,0,0,0,0,FALSE,9,0,0,0,0,23,0,534638,1,1,0,6,3,-14831,2847,17678,59,FALSE,0,23
Ronnie Edwards,DEF,Southampton,0,0,0,0,0,0,460,0,0,0,0,228,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,15,0,0,0,0,23,0,31835,0,3,1,0,0,-1753,0,1753,39,TRUE,0,23
Edson Álvarez Velázquez,MID,West Ham,2.2,1,0,14,0,16.4,511,0.18,0.28,0.1,0.83,221,1,0,5.5,33.2,2025-01-26T16:30:00Z,88,0,0,0,0,0,0,0,FALSE,2,0,0,0,0,23,0,13462,1,1,1,5,4,-141,274,415,50,FALSE,1,23
Jack Grealish,MID,Man City,0.5,0,0,0,0,0,349,0,0,0,0,227,0,0,0,0,2025-01-25T17:30:00Z,0,0,0,0,0,0,0,0,FALSE,6,0,0,0,0,23,0,23565,0,1,3,0,0,100,828,728,64,TRUE,0,23
Marcus Myers-Harness,MID,Ipswich,0,0,0,0,0,0,271,0,0,0,0,226,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,12,0,0,0,0,23,0,882,0,1,4,0,0,-5,0,5,49,FALSE,0,23
Jack Taylor,MID,Ipswich,-0.2,0,0,0,0,0,281,0,0,0,0,226,0,0,0,0,2025-01-25T15:00:00Z,0,0,0,0,0,0,0,0,FALSE,12,0,0,0,0,23,0,3081,0,1,4,0,0,-72,75,147,48,FALSE,0,23
