player_name_id,element,value,season,event,fixture,total_points,minutes,goals_scored,assists,team_elo,opp_team_elo,position,bonus,bps,clean_sheets,goals_conceded,was_home,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,cbi,defensive_contribution,recoveries,tackles,saves,team_name,opp_team_name
David Raya Martín,1.0,60.0,20252026.0,20.0,192.0,1.0,90.0,0.0,0.0,1260.1489011580811,1035.9029829073306,GK,0.0,3.0,0.0,2.0,false,0.0,0.0,0.0,1.43,1.0,0.0,0.0,8.0,0.0,1.0,Arsenal,Bournemouth
David Raya Martín,1.0,60.0,20252026.0,21.0,201.0,6.0,90.0,0.0,0.0,1264.4630357388257,1188.3117680597998,GK,0.0,19.0,1.0,0.0,true,0.0,0.0,0.0,0.36,1.0,1.0,0.0,4.0,0.0,0.0,Arsenal,Liverpool
David Raya Martín,1.0,59.0,20252026.0,22.0,217.0,6.0,90.0,0.0,0.0,1262.3056628714587,1013.9532219193231,GK,0.0,23.0,1.0,0.0,false,0.0,0.0,0.0,0.34,1.0,2.0,0.0,7.0,1.0,0.0,Arsenal,Nott'm Forest
David Raya Martín,1.0,59.0,20252026.0,23.0,221.0,1.0,90.0,0.0,0.0,1256.1687847964808,1068.0025436327387,GK,0.0,-3.0,0.0,3.0,true,0.01,0.01,0.0,0.71,1.0,1.0,0.0,10.0,0.0,0.0,Arsenal,Man Utd
David Raya Martín,1.0,59.0,20252026.0,24.0,234.0,6.0,90.0,0.0,0.0,1241.2269092591193,975.3151788621179,GK,0.0,24.0,1.0,0.0,false,0.0,0.0,0.0,0.15,1.0,0.0,0.0,11.0,0.0,1.0,Arsenal,Leeds
David Raya Martín,1.0,59.0,20252026.0,25.0,241.0,7.0,90.0,0.0,0.0,1244.7847029944387,1048.9325332726464,GK,1.0,30.0,1.0,0.0,true,0.0,0.0,0.0,0.19,1.0,1.0,0.0,12.0,0.0,2.0,Arsenal,Sunderland
David Raya Martín,1.0,59.0,20252026.0,26.0,252.0,2.0,90.0,0.0,0.0,1249.677469726681,1081.183298116947,GK,0.0,13.0,0.0,1.0,false,0.0,0.0,0.0,1.51,1.0,2.0,0.0,11.0,0.0,2.0,Arsenal,Brentford
David Raya Martín,1.0,59.0,20252026.0,26.0,310.0,1.0,90.0,0.0,0.0,1245.1753571525715,908.5298478384614,GK,0.0,-3.0,0.0,2.0,false,0.0,0.0,0.0,0.29,1.0,1.0,0.0,6.0,0.0,0.0,Arsenal,Wolves
David Raya Martín,1.0,60.0,20252026.0,27.0,269.0,3.0,90.0,0.0,0.0,1237.6929599372763,981.6040563349128,GK,0.0,18.0,0.0,1.0,false,0.0,0.0,0.0,0.76,1.0,2.0,0.0,14.0,0.0,4.0,Arsenal,Spurs
David Raya Martín,1.0,60.0,20252026.0,28.0,271.0,3.0,90.0,0.0,0.0,1241.4191638038399,1132.6000274397768,GK,0.0,12.0,0.0,1.0,true,0.01,0.01,0.0,1.05,1.0,1.0,0.0,4.0,0.0,4.0,Arsenal,Chelsea
